词语	拼音	词性	分级	义类编码
平生	píngshēng	名	3	肆一Db
平生	píngshēng	名	3	肆一Ia
平时	píngshí	名	1	肆一Db
平实	píngshí	形	3	捌三Nb
平台	píngtái	名	2	贰六Bh
平坦	píngtǎn	形	2	捌一Ma
平添	píngtiān	动	3	柒五Aa
平稳	píngwěn	形	3	捌六Ba
平息	píngxī	动	3	陆六Gb
平息	píngxī	动	3	柒三Bc
平心而论	píngxīn’érlùn		3	陆十一Aa
平心静气	píngxīn-jìngqì		4	伍五Fb
平易	píngyì	形	3	捌四Kd
平易近人	píngyì-jìnrén		2	捌五Cb
平庸	píngyōng	形	4	捌四Ca
平原	píngyuán	名	2	贰三Bb
平整	píngzhěng	形	3	捌一Ma
评	píng	动	2	陆一Ic
评	píng	动	2	陆五Dd
评比	píngbǐ	动	2	陆一Ic
评估	pínggū	动	4	陆一Ic
评价	píngjià	动	2	陆一Ic
评论	pínglùn	名	2	叁八Ed
评论	pínglùn	动	2	陆一Ic
评判	píngpàn	动	3	陆一Ic
评审	píngshěn	动	3	陆一Ia
评选	píngxuǎn	动	2	陆一Ja
评议	píngyì	动	4	陆一Ic
苹果	píngguǒ	名	1	壹三Fb
凭	píng	动	2	柒六Na
凭	píng	介	2	玖二Ec
凭借	píngjiè	动	3	柒六Na
凭空	píngkōng	副	4	玖一Df
凭证	píngzhèng	名	4	叁一Bb
屏幕	píngmù	名	3	贰八Ab
屏障	píngzhàng	名	4	叁一Ia
瓶	píng	名	1	贰七Bd
瓶	píng	量	1	叁十Ca
瓶颈	píngjǐng	名	4	叁二Dd
瓶子	píng·zi	名	1	贰七Bd
萍水相逢	píngshuǐ-xiāngféng		4	柒二Gc
坡	pō	名	1	贰三Ba
泼	pō	动	2	伍一Ic
泼辣	pōlà	形	3	捌五Db
颇	pō	副	4	玖一Ac
婆婆	pó·po	名	2	壹一Di
婆娑	pósuō	形	4	捌三La
迫不得已	pòbùdéyǐ		3	伍五Be
迫不及待	pòbùjídài		3	伍五Ec
迫害	pòhài	动	3	陆十一Hd
迫切	pòqiè	形	3	伍五Ec
迫使	pòshǐ	动	3	陆十一Hf
迫在眉睫	pòzàiméijié		4	捌六Fb
破	pò	动	2	伍一Ja
破	pò	动	3	陆六Gc
破	pò	动	2	柒五Cb
破	pò	形	2	捌三Be
破案	pò//àn	动	3	陆七Ba
破败	pòbài	动	3	柒四Gb
破败	pòbài	形	3	捌三Be
破产	pò//chǎn	动	3	伍八Da
破釜沉舟	pòfǔ-chénzhōu		4	捌五Db
破格	pògé	动	3	陆一Bb
破坏	pòhuài	动	2	陆十一Hc
破获	pòhuò	动	4	陆七Ba
破解	pòjiě	动	3	陆五Dc
破解	pòjiě	动	3	柒五Cf
破镜重圆	pòjìng-chóngyuán		3	柒三Gb
破旧	pòjiù	形	2	捌三Be
破烂	pòlàn	形	2	捌三Be
破裂	pòliè	动	3	柒二Ke
破灭	pòmiè	动	3	柒三Ga
破碎	pòsuì	动	3	捌三Be
破损	pòsǔn	动	3	捌三Be
破涕为笑	pòtìwéixiào		3	伍六Aa
破天荒	pò tiānhuāng		4	叁一Bc
破绽	pòzhàn	名	4	叁一Gc
破折号	pòzhéhào	名	2	叁八Ci
魄力	pòlì	名	4	叁二Id
剖析	pōuxī	动	3	陆五Db
扑	pū	动	1	伍一Ab
扑	pū	动	1	伍三Ec
扑	pū	动	1	柒二Ga
扑克	pūkè	名	3	贰八Bc
扑面而来	pūmiàn’érlái		2	柒一Bc
扑灭	pū//miè	动	2	柒五Ca
扑朔迷离	pūshuò-mílí		4	捌四Ib
扑腾	pū·teng	动	3	柒二Mc
扑腾	pūtēng	拟声	3	玖七Ca
扑通	pūtōng	拟声	2	玖七Ca
铺	pù	名	2	贰七Ac
铺	pù	名	2	叁七Gb
铺	pū	动	2	伍一Ed
铺设	pūshè	动	3	陆三Aa
铺天盖地	pūtiān-gàidì		3	捌三Aa
匍匐	púfú	动	4	伍三Aa
菩萨	pú·sà	名	3	叁三Fb
葡萄	pú·tao	名	1	壹三Fb
葡萄酒	pú·taojiǔ	名	3	贰九Aj
朴实	pǔshí	形	3	捌三Nb
朴实	pǔshí	形	3	捌五Ac
朴素	pǔsù	形	2	捌三Nb
朴素	pǔsù	形	3	捌五Na
普遍	pǔbiàn	形	2	捌四Ga
普及	pǔjí	动	3	陆一Oa
普天同庆	pǔtiān-tóngqìng		3	陆九Hb
普通	pǔtōng	形	1	捌四Ca
普通话	pǔtōnghuà	名	1	叁八Cf
普照	pǔzhào	动	3	柒一Ca
谱写	pǔxiě	动	4	陆五Ea
铺子	pù·zi	名	2	叁七Gb
瀑布	pùbù	名	2	贰三Bi
七	qī	数	1	叁十Be
七零八落	qīlíng-bāluò		2	捌三Bd
七窍生烟	qīqiào-shēngyān		4	伍五Ca
七上八下	qīshàng-bāxià		2	伍五Ea
七夕	qīxī	名	2	肆一Ha
七嘴八舌	qīzuǐ-bāshé		2	捌六Da
妻子	qī·zi	名	2	壹一Dc
柒	qī	数	4	叁十Be
栖息	qīxī	动	3	伍七Ab
凄惨	qīcǎn	形	4	捌六Ib
凄风苦雨	qīfēng-kǔyǔ		4	贰三Ca
凄风苦雨	qīfēng-kǔyǔ		4	叁一Ea
凄苦	qīkǔ	形	4	捌六Ib
凄厉	qīlì	形	4	捌二Hb
凄凉	qīliáng	形	3	捌六Dc
凄凉	qīliáng	形	3	捌六Ib
凄迷	qīmí	形	4	伍五Ba
凄迷	qīmí	形	4	捌六Dc
期	qī	名	3	肆一Bb
期待	qīdài	动	2	伍五Ua
期间	qījiān	名	3	肆一Ca
期盼	qīpàn	动	3	伍五Ua
期望	qīwàng	动	3	伍五Ua
期限	qīxiàn	名	3	肆一Ca
欺负	qī·fu	动	2	陆十一Ca
欺凌	qīlíng	动	4	陆十一Ca
欺骗	qīpiàn	动	2	陆十一Cd
欺辱	qīrǔ	动	3	陆十一Ca
欺软怕硬	qīruǎn-pàyìng		2	陆十一Ca
欺上瞒下	qīshàng-mánxià		3	陆十一Cd
欺世盗名	qīshì-dàomíng		4	陆十一Cd
欺侮	qīwǔ	动	3	陆十一Ca
欺压	qīyā	动	3	陆十一Ca
欺诈	qīzhà	动	3	陆十一Cd
漆	qī	名	3	贰四Db
漆	qī	动	3	陆三Gb
漆黑	qīhēi	形	3	捌二Ai
蹊跷	qī·qiao	形	4	捌四Ce
齐	qí	动	2	柒六Eb
齐	qí	形	1	捌三Bc
齐	qí	形	1	捌六Ha
齐	qí	副	2	玖一Ca
齐备	qíbèi	形	3	捌三Bc
齐集	qíjí	动	3	柒二Ja
齐全	qíquán	形	2	捌三Bc
齐头并进	qítóu-bìngjìn		3	柒三Ca
齐心协力	qíxīn-xiélì		2	伍八Na
齐整	qízhěng	形	3	捌六Ha
其	qí	代	2	壹一Ad
其	qí	代	2	贰二Da
其次	qícì	代	2	叁十Bf
其间	qíjiān	名	2	叁一Bd
其貌不扬	qímào-bùyáng		3	捌三Lb
其实	qíshí	副	1	玖一Gd
其他	qítā	代	2	贰二Db
其余	qíyú	代	2	贰二Db
其中	qízhōng	名	2	叁一Bd
奇耻大辱	qíchǐ-dàrǔ		4	叁一Ge
奇怪	qíguài	形	2	伍五Eb
奇怪	qíguài	形	1	捌四Ce
奇观	qíguān	名	2	叁二Ac
奇幻	qíhuàn	形	3	捌四Ce
奇迹	qíjì	名	2	叁一Gb
奇景	qíjǐng	名	2	叁二Ac
奇丽	qílì	形	3	捌三La
奇妙	qímiào	形	2	捌四Ce
奇巧	qíqiǎo	形	3	捌三Ma
奇缺	qíquē	动	4	陆二Bd
奇特	qítè	形	3	捌四Cb
奇形怪状	qíxíng-guàizhuàng		2	叁二Aa
奇异	qíyì	形	3	捌四Cb
奇珍异宝	qízhēn-yìbǎo		3	贰二Ce
奇装异服	qízhuāng-yìfú		3	贰七Cb
歧视	qíshì	动	3	伍五Nc
歧途	qítú	名	4	叁一Bf
祈祷	qídǎo	动	3	陆八Aa
祈求	qíqiú	动	3	伍五Ua
颀长	qícháng	形	4	捌一Fb
崎岖	qíqū	形	4	捌一Mb
骑	qí	动	1	伍一Na
骑虎难下	qíhǔ-nánxià		4	伍八Bc
骑手	qíshǒu	名	2	壹一Ji
棋	qí	名	2	贰八Bc
旗杆	qígān	名	2	贰五Cg
旗鼓相当	qígǔ-xiāngdāng		3	柒六Eb
旗开得胜	qíkāi-déshèng		3	伍八Ca
旗帜	qízhì	名	3	贰八Cf
旗帜	qízhì	名	3	叁二Ea
鳍	qí	名	4	壹五Bf
乞丐	qǐgài	名	3	壹一Li
乞求	qǐqiú	动	3	陆九Kc
乞讨	qǐtǎo	动	3	伍七Ae
岂	qǐ	副	3	玖一Gg
岂非	qǐfēi	副	4	玖一Gg
岂有此理	qǐyǒucǐlǐ		3	捌四Ed
岂止	qǐzhǐ	副	4	玖一Be
企盼	qǐpàn	动	4	伍五Ua
企图	qǐtú	名	3	叁三Cc
企图	qǐtú	动	3	伍五Wa
企业	qǐyè	名	2	叁四Ad
启程	qǐchéng	动	3	陆四Ca
启迪	qǐdí	动	2	陆五Ac
启动	qǐdòng	动	3	柒三Aa
启发	qǐfā	动	2	陆五Ac
启航	qǐháng	动	2	陆四Ab
启蒙	qǐméng	动	3	陆五Ac
启示	qǐshì	名	2	叁三Da
启示	qǐshì	动	2	陆五Ac
启事	qǐshì	名	2	叁八Ef
起	qǐ	量	2	叁十Ca
起	qǐ	动	1	伍七Bb
起	qǐ	动	2	柒四Fd
起步	qǐbù	动	2	柒三Aa
起草	qǐ//cǎo	动	3	陆五Ea
起承转合	qǐ-chéng-zhuǎn-hé		4	柒六Jb
起初	qǐchū	名	2	叁一Bc
起床	qǐ//chuáng	动	1	伍七Bb
起点	qǐdiǎn	名	2	肆二Da
起飞	qǐfēi	动	1	陆四Ab
起哄	qǐ//hòng	动	3	陆十一Ac
起劲	qǐjìn	形	3	伍六Ea
起来	qǐ//·lái	动	1	伍七Bb
起来	qǐ//·lái	动	2	柒四Fd
起码	qǐmǎ	形	3	捌四La
起身	qǐ//shēn	动	2	伍七Bb
起身	qǐ//shēn	动	3	陆四Ca
起死回生	qǐsǐ-huíshēng		3	伍四Jb
起诉	qǐsù	动	4	陆七Aa
起舞	qǐwǔ	动	2	陆五Fd
起先	qǐxiān	名	2	叁一Bc
起义	qǐyì	动	3	陆六Bb
起源	qǐyuán	名	3	叁一Bb
起源	qǐyuán	动	3	柒六Ca
起早贪黑	qǐzǎo-tānhēi		3	捌五Va
绮丽	qǐlì	形	4	捌三La
气	qì	名	1	贰三Db
气	qì	名	1	贰三Ka
气	qì	动	1	伍五Ca
气冲冲	qìchōngchōng	形	2	伍五Ca
气冲霄汉	qìchōngxiāohàn		4	捌四Nb
气喘吁吁	qìchuǎn-xūxū		3	伍二Gb
气度	qìdù	名	4	叁二Fa
气氛	qì·fēn	名	3	叁一Fb
气愤	qìfèn	形	2	伍五Ca
气概	qìgài	名	4	叁二Id
气管	qìguǎn	名	2	壹五Ak
气贯长虹	qìguànchánghóng		4	捌四Nb
气候	qìhòu	名	4	叁一Fa
气候	qìhòu	名	2	叁一Fc
气急败坏	qìjí-bàihuài		4	伍五Ca
气节	qìjié	名	4	叁二Ib
气力	qìlì	名	3	叁二Ga
气馁	qìněi	形	4	伍五Bc
气派	qìpài	名	4	叁二Fa
气派	qìpài	形	4	捌三Na
气魄	qìpò	名	4	叁二Id
气球	qìqiú	名	1	贰八Bd
气盛	qìshèng	形	4	伍五Da
气势	qìshì	名	3	叁二Gd
气势汹汹	qìshì-xiōngxiōng		4	伍五Ca
气体	qìtǐ	名	2	贰二Ab
气体	qìtǐ	名	2	贰三Db
气吞山河	qìtūnshānhé		3	捌四Nb
气味	qìwèi	名	2	贰三Ka
气味	qìwèi	名	4	叁三Eb
气温	qìwēn	名	2	叁十Ak
气息	qìxī	名	3	贰三Ka
气象	qìxiàng	名	2	叁一Fc
气象	qìxiàng	名	4	叁二Ac
气象万千	qìxiàng-wànqiān		3	捌六Ca
气宇轩昂	qìyǔ-xuān’áng		4	伍六Ea
气质	qìzhì	名	3	叁二Fa
气壮山河	qìzhuàngshānhé		3	捌四Nb
迄今	qìjīn	动	4	柒三Ba
弃暗投明	qì’àn-tóumíng		4	伍七Fa
弃旧图新	qìjiù-túxīn		4	伍七Fa
汽车	qìchē	名	1	贰五Ea
汽水	qìshuǐ	名	1	贰九Ai
汽油	qìyóu	名	2	贰四Bb
泣不成声	qìbùchéngshēng		3	伍六Ab
契合	qìhé	动	4	柒六Gc
契机	qìjī	名	4	叁二De
契约	qìyuē	名	4	叁八Ef
器材	qìcái	名	2	贰二Ca
器官	qìguān	名	2	壹五Ak
器具	qìjù	名	2	贰二Ca
器皿	qìmǐn	名	3	贰七Bd
器械	qìxiè	名	3	贰二Ca
器重	qìzhòng	动	4	伍五Mc
掐	qiā	动	3	伍一Af
掐头去尾	qiātóu-qùwěi		3	柒五Cb
洽谈	qiàtán	动	4	陆九Ca
恰当	qiàdàng	形	2	捌四Ee
恰好	qiàhǎo	副	2	玖一Ge
恰恰	qiàqià	副	2	玖一Ge
恰巧	qiàqiǎo	副	3	玖一Ge
恰如其分	qiàrú-qífèn		3	捌四Ee
恰似	qiàsì	动	3	柒六Ed
千	qiān	数	1	叁十Be
千变万化	qiānbiàn-wànhuà		2	柒四Aa
千疮百孔	qiānchuāng-bǎikǒng		4	捌六Ib
千锤百炼	qiānchuí-bǎiliàn		2	陆五Be
千方百计	qiānfāng-bǎijì		2	伍五Ra
千古	qiāngǔ	动	4	捌三Qa
千呼万唤	qiānhū-wànhuàn		2	陆九Fb
千家万户	qiānjiā-wànhù		2	叁四Ae
千军万马	qiānjūn-wànmǎ		2	捌四Nb
千钧一发	qiānjūn-yīfà		3	捌六Ab
千克	qiānkè	量	2	叁十Cc
千里马	qiānlǐmǎ	名	3	壹一Ia
千里迢迢	qiānlǐ-tiáotiáo		3	捌三Ra
千米	qiānmǐ	量	2	叁十Cc
千难万险	qiānnán-wànxiǎn		3	叁一Ed
千篇一律	qiānpiān-yīlǜ		3	捌四Jd
千奇百怪	qiānqí-bǎiguài		2	捌四Ce
千千万万	qiānqiānwànwàn	形	2	捌三Aa
千丝万缕	qiānsī-wànlǚ		3	捌四Ib
千万	qiānwàn	副	3	玖一Db
千辛万苦	qiānxīn-wànkǔ		2	捌六Jb
千言万语	qiānyán-wànyǔ		2	叁八Cg
千载难逢	qiānzǎi-nánféng		3	捌三Ad
千真万确	qiānzhēn-wànquè		2	捌四Aa
千姿百态	qiānzī-bǎitài		3	捌三Ac
仟	qiān	数	4	叁十Be
迁	qiān	动	2	伍七Ae
迁徙	qiānxǐ	动	4	伍七Ae
迁移	qiānyí	动	3	伍七Ae
牵	qiān	动	2	伍一Ba
牵绊	qiānbàn	动	4	陆十一Dc
牵肠挂肚	qiāncháng-guàdù		3	伍五Xb
牵扯	qiānchě	动	3	柒六Nc
牵挂	qiānguà	动	3	伍五Xb
牵连	qiānlián	动	3	柒六Nc
牵强附会	qiānqiǎng-fùhuì		4	捌四Ef
牵涉	qiānshè	动	3	柒六Nc
牵头	qiān//tóu	动	3	伍八Mc
牵引	qiānyǐn	动	3	伍一Ba
牵制	qiānzhì	动	4	陆十一Dc
铅	qiān	名	3	贰四Ad
铅笔	qiānbǐ	名	1	贰八Ca
谦卑	qiānbēi	形	3	捌五Ha
谦恭	qiāngōng	形	4	捌五Ha
谦和	qiānhé	形	3	捌五Ha
谦让	qiānràng	动	4	陆十一Ed
谦虚	qiānxū	形	2	捌五Ha
谦逊	qiānxùn	形	4	捌五Ha
签	qiān	动	2	陆一Lb
签订	qiāndìng	动	3	陆九Ca
签名	qiānmíng	动	2	陆一Lb
签署	qiānshǔ	动	4	陆一Lb
签约	qiān//yuē	动	3	陆九Ca
签证	qiānzhèng	动	3	陆一Lb
前	qián	名	1	肆二Ae
前辈	qiánbèi	名	3	壹一Da
前辈	qiánbèi	名	3	叁四Ba
前车之鉴	qiánchēzhījiàn		4	叁一Dd
前代	qiándài	名	4	肆一Dc
前方	qiánfāng	名	2	肆二Ae
前方	qiánfāng	名	3	肆二Cf
前俯后仰	qiánfǔ-hòuyǎng		3	伍三Fc
前赴后继	qiánfù-hòujì		3	捌五Dc
前功尽弃	qiángōng-jìnqì		3	伍八Da
前后	qiánhòu	名	3	叁十Bg
前后	qiánhòu	名	2	肆一Ca
前呼后拥	qiánhū-hòuyōng		4	柒二Fg
前进	qiánjìn	动	2	伍七Ic
前景	qiánjǐng	名	3	叁一Bg
前来	qiánlái	动	2	伍七Ia
前面	qiánmiàn	名	1	肆二Ae
前年	qiánnián	名	1	肆一Ea
前人	qiánrén	名	3	壹一Ae
前世	qiánshì	名	4	肆一Dc
前所未有	qiánsuǒwèiyǒu		3	捌四Cc
前台	qiántái	名	3	贰六Af
前台	qiántái	名	3	贰六Bh
前提	qiántí	名	3	叁二Ea
前天	qiántiān	名	1	肆一Ed
前途	qiántú	名	3	叁一Bg
前卫	qiánwèi	形	4	捌三Kc
前无古人	qiánwúgǔrén		3	捌四Cc
前夕	qiánxī	名	4	肆一Dc
前线	qiánxiàn	名	3	肆二Cf
前行	qiánxíng	动	2	伍一Ka
前沿	qiányán	名	3	肆二Cf
前因后果	qiányīn-hòuguǒ		2	叁一Bd
前兆	qiánzhào	名	4	叁一Fc
前者	qiánzhě	名	3	贰二Da
前奏	qiánzòu	名	3	叁一Bc
虔诚	qiánchéng	形	4	捌五Ba
钱	qián	名	1	叁七Da
钱包	qiánbāo	名	2	贰七Be
钱财	qiáncái	名	3	叁七Da
钳子	qián·zi	名	3	贰五Cd
乾坤	qiánkūn	名	4	贰三Aa
潜伏	qiánfú	动	3	伍七Ja
潜力	qiánlì	名	3	叁二Ga
潜艇	qiántǐng	名	3	贰五Fc
潜心	qiánxīn	动	4	伍五Mb
潜移默化	qiányí-mòhuà		3	柒六Oa
潜意识	qiányì·shí	名	4	叁三Aa
潜在	qiánzài	形	3	捌四Sd
黔驴技穷	qiánlǘ-jìqióng		4	伍五Be
浅	qiǎn	形	1	捌一Db
浅	qiǎn	形	2	捌四Kd
浅	qiǎn	形	2	捌四Me
浅薄	qiǎnbó	形	4	捌五Zb
浅尝辄止	qiǎncháng-zhézhǐ		4	捌五Zb
浅近	qiǎnjìn	形	3	捌四Kd
浅陋	qiǎnlòu	形	4	捌五Zb
浅显	qiǎnxiǎn	形	3	捌四Kd
遣散	qiǎnsàn	动	4	陆一Nb
谴责	qiǎnzé	动	4	陆九Gb
欠	qiàn	动	2	陆二Bd
欠	qiàn	动	2	柒六Ib
欠缺	qiànquē	动	3	柒六Ib
欠条	qiàntiáo	名	2	叁八Ef
纤夫	qiànfū	名	4	壹一Jn
嵌	qiàn	动	4	伍一Ef
歉意	qiànyì	名	3	叁三Bb
枪	qiāng	名	1	贰五Fb
枪毙	qiāngbì	动	3	陆七De
枪林弹雨	qiānglín-dànyǔ		3	捌六Ab
腔	qiāng	名	3	壹五Ae
腔	qiāng	名	3	叁八Cd
腔调	qiāngdiào	名	3	叁八Cd
腔调	qiāngdiào	名	3	叁八Ga
强	qiáng	形	1	捌四Ba
强	qiáng	形	1	捌四Na
强暴	qiángbào	形	4	捌五Ab
强大	qiángdà	形	2	捌四Na
强盗	qiángdào	名	3	壹一Gb
强调	qiángdiào	动	3	陆九Fe
强悍	qiánghàn	形	4	捌五Dc
强化	qiánghuà	动	3	柒五Ae
强健	qiángjiàn	形	3	捌三Ja
强劲	qiángjìng	形	4	捌四Na
强烈	qiángliè	形	2	捌四Ma
强烈	qiángliè	形	2	捌四Sa
强弩之末	qiángnǔzhīmò		4	捌六Cb
强盛	qiángshèng	形	2	捌四Na
强势	qiángshì	名	3	叁二Gd
强行	qiángxíng	副	3	玖一Ce
强硬	qiángyìng	形	3	捌四Na
强者	qiángzhě	名	3	壹一Ia
强制	qiángzhì	动	4	陆十一Hf
强壮	qiángzhuàng	形	2	捌三Ja
墙	qiáng	名	1	贰六Be
墙壁	qiángbì	名	2	贰六Be
墙根	qiánggēn	名	2	贰六Be
墙角	qiángjiǎo	名	2	贰六Be
墙头	qiángtóu	名	2	贰六Be
抢	qiǎng	动	1	伍八Mc
抢	qiǎng	动	1	陆七Fh
抢夺	qiǎngduó	动	2	陆七Fh
抢劫	qiǎngjié	动	3	陆七Fh
抢救	qiǎngjiù	动	2	陆十Ce
抢先	qiǎng//xiān	动	3	伍八Mc
抢险	qiǎngxiǎn	动	3	陆十Cf
抢眼	qiǎngyǎn	形	3	捌四Sa
强词夺理	qiǎngcí-duólǐ		2	捌五Pb
强迫	qiǎngpò	动	2	陆十一Hf
强人所难	qiǎngrénsuǒnán		4	陆十一Hf
悄悄	qiāoqiāo	副	2	玖一Ch
悄悄话	qiāoqiāohuà	名	2	叁八Cg
跷跷板	qiāoqiāobǎn	名	2	贰八Bd
敲	qiāo	动	2	伍一Ab
敲打	qiāo·dǎ	动	2	伍一Ab
敲击	qiāojī	动	2	伍一Ab
敲诈	qiāozhà	动	4	陆七Fd
乔装	qiáozhuāng	动	4	伍七Be
侨胞	qiáobāo	名	4	壹一Ka
桥	qiáo	名	1	贰六Cb
桥洞	qiáodòng	名	2	肆二Dd
桥墩	qiáodūn	名	4	贰六Cb
桥梁	qiáoliáng	名	2	贰六Cb
憔悴	qiáocuì	形	4	捌三Jb
瞧	qiáo	动	2	伍二Da
瞧不起	qiáo·buqǐ	动	2	伍五Nc
巧	qiǎo	形	2	捌五Tc
巧夺天工	qiǎoduó-tiāngōng		3	捌四Ba
巧合	qiǎohé	形	3	柒六Gc
巧克力	qiǎokèlì	名	1	贰九Ah
巧立名目	qiǎolì-míngmù		4	陆十一Ce
巧妙	qiǎomiào	形	2	捌四Ba
巧取豪夺	qiǎoqǔ-háoduó		4	陆七Fe
巧舌如簧	qiǎoshé-rúhuáng		4	陆九Eg
巧手	qiǎoshǒu	名	3	壹一Jn
巧言令色	qiǎoyán-lìngsè		4	捌五Bc
悄然	qiǎorán	形	3	捌二Gb
悄然	qiǎorán	形	3	捌四Sd
悄无声息	qiǎowúshēngxī		3	捌六Db
俏丽	qiàolì	形	4	捌三La
俏皮	qiào·pí	形	3	捌五Ec
窍门	qiàomén	名	3	叁一Cb
翘	qiào	动	3	柒二Aa
撬	qiào	动	4	伍一Cd
切	qiē	动	2	伍一Ja
切磋	qiēcuō	动	4	陆五Da
切割	qiēgē	动	3	陆三Bb
切削	qiēxiāo	动	3	陆三Bb
茄子	qié·zi	名	2	壹三Fa
且	qiě	副	3	玖一Ea
且	qiě	副	3	玖三Aa
切肤之痛	qièfūzhītòng		4	叁一Ed
切实	qièshí	形	3	捌四Hc
怯懦	qiènuò	形	4	捌五De
窃窃私语	qièqiè-sīyǔ		3	陆九Ec
惬意	qièyì	形	4	伍五Ab
惬意	qièyì	形	4	捌六Ja
钦差大臣	qīnchāi dàchén		4	壹一Lj
钦佩	qīnpèi	动	4	伍五Qc
侵犯	qīnfàn	动	3	陆十一Hd
侵害	qīnhài	动	3	陆十一Hd
侵害	qīnhài	动	3	柒六Qa
侵略	qīnlüè	动	2	陆六Ga
侵入	qīnrù	动	2	陆六Ga
侵蚀	qīnshí	动	4	陆十一Hd
侵吞	qīntūn	动	3	陆七Fe
侵袭	qīnxí	动	4	陆六Ca
侵占	qīnzhàn	动	2	陆六Ga
侵占	qīnzhàn	动	3	陆七Fe
亲	qīn	动	1	伍二Cb
亲	qīn	形	1	捌四Ra
亲	qīn	形	2	捌四Ya
亲爱	qīn’ài	形	1	捌四Ra
亲近	qīnjìn	动	2	柒二Fb
亲近	qīnjìn	形	2	捌四Ra
亲密	qīnmì	形	2	捌四Ra
亲昵	qīnnì	形	4	捌四Ra
亲朋好友	qīnpéng-hǎoyǒu		2	壹一La
亲戚	qīn·qi	名	2	壹一Da
亲切	qīnqiè	形	2	捌五Cb
亲情	qīnqíng	名	2	叁三Bb
亲热	qīnrè	形	3	捌四Ra
亲人	qīnrén	名	1	壹一Da
亲身	qīnshēn	副	2	玖一Ca
亲生	qīnshēng	形	2	捌四Ya
亲手	qīnshǒu	副	1	玖一Ca
亲属	qīnshǔ	名	2	壹一Da
亲眼	qīnyǎn	副	1	玖一Ca
亲自	qīnzì	副	1	玖一Ca
秦	Qín	名	4	肆一Ba
琴	qín	名	2	贰八Aa
琴弦	qínxián	名	2	贰八Aa
禽兽	qínshòu	名	4	壹一Gb
禽兽	qínshòu	名	4	壹二Ba
勤奋	qínfèn	形	1	捌五Va
勤工俭学	qíngōng-jiǎnxué		3	陆五Ba
勤恳	qínkěn	形	3	捌五Va
勤快	qín·kuai	形	2	捌五Va
勤劳	qínláo	形	1	捌五Va
勤勉	qínmiǎn	形	3	捌五Va
勤学苦练	qínxué-kǔliàn		2	捌五Va
擒获	qínhuò	动	4	陆六Gd
沁人心脾	qìnrénxīnpí		4	捌二Ia
青	qīng	名	3	叁五Ae
青	qīng	形	2	捌二Ad
青草	qīngcǎo	名	1	壹三Cc
青春	qīngchūn	名	2	肆一Ia
青翠	qīngcuì	形	3	捌二Ae
青红皂白	qīnghóngzàobái		4	叁一Ga
青黄不接	qīnghuáng-bùjiē		3	捌三Af
青睐	qīnglài	动	4	伍五Mc
青梅竹马	qīngméi-zhúmǎ		3	捌四Ra
青年	qīngnián	名	2	壹一Cb
青年	qīngnián	名	2	肆一Ia
青山	qīngshān	名	1	贰三Ba
青山绿水	qīngshān-lǜshuǐ		2	叁二Ac
青苔	qīngtái	名	3	壹三Db
青天	qīngtiān	名	4	壹一Lj
青天	qīngtiān	名	4	肆二Ba
青天白日	qīngtiān-báirì		4	肆一Fa
青铜	qīngtóng	名	3	贰四Ab
青蛙	qīngwā	名	1	壹二Ef
青云直上	qīngyún-zhíshàng		4	伍八Gb
轻	qīng	形	1	捌二La
轻	qīng	形	2	捌四Me
轻便	qīngbiàn	形	3	捌四Fc
轻薄	qīngbó	形	4	捌五Gd
轻车熟路	qīngchē-shúlù		4	捌五Wa
轻而易举	qīng’éryìjǔ		3	捌四Kb
轻风	qīngfēng	名	2	贰三Ca
轻浮	qīngfú	形	4	捌五Gd
轻歌曼舞	qīnggē-mànwǔ		4	陆五Fd
轻捷	qīngjié	形	4	捌三Pa
轻举妄动	qīngjǔ-wàngdòng		4	捌五Gd
轻快	qīngkuài	形	3	捌二Lc
轻慢	qīngmàn	动	4	陆九Ib
轻描淡写	qīngmiáo-dànxiě		3	捌四Me
轻蔑	qīngmiè	动	3	伍五Nc
轻飘	qīngpiāo	形	3	捌二La
轻飘飘	qīngpiāopiāo	形	3	捌二La
轻巧	qīng·qiǎo	形	3	捌二Lc
轻巧	qīng·qiǎo	形	3	捌四Kb
轻柔	qīngróu	形	2	捌四Mf
轻视	qīngshì	动	2	伍五Nc
轻手轻脚	qīngshǒu-qīngjiǎo		2	伍一Ka
轻率	qīngshuài	形	4	捌五Gd
轻松	qīngsōng	形	2	捌四Kb
轻松	qīngsōng	形	2	捌六Fa
轻佻	qīngtiāo	形	4	捌五Rb
轻微	qīngwēi	形	2	捌四Me
轻易	qīngyì	形	3	捌四Kb
轻易	qīngyì	副	3	玖一Df
轻盈	qīngyíng	形	3	捌二Lc
轻于鸿毛	qīngyúhóngmáo		4	捌四Od
轻重倒置	qīngzhòng-dàozhì		4	伍七Gf
轻重缓急	qīngzhòng-huǎnjí		4	叁二Eb
轻舟	qīngzhōu	名	3	贰五Eb
倾倒	qīngdǎo	动	3	伍五Qc
倾倒	qīngdǎo	动	3	柒二Bf
倾覆	qīngfù	动	4	陆六Bd
倾家荡产	qīngjiā-dàngchǎn		3	捌六Ib
倾盆大雨	qīngpén-dàyǔ		2	贰三Cc
倾诉	qīngsù	动	3	陆九Ef
倾听	qīngtīng	动	3	伍二Db
倾吐	qīngtǔ	动	4	陆九Ef
